"Internal - All"
"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.sportwettentest.net/wp-content/uploads/2016/06/em-2016-island-oesterreich.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","69821","0","0.0","4","","0","0","0.0","0","0","0","0","","0.072","Thu, 09 Jun 2016 15:44:42 GMT","","","https://www.sportwettentest.net/wp-content/uploads/2016/06/em-2016-island-oesterreich.jpg"
"https://www.sportwettentest.net/wp-content/uploads/2013/12/zahlungsarten_betsafe_swt.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","7168","0","0.0","3","","0","0","0.0","0","0","0","0","","0.064","Tue, 01 Sep 2015 14:30:24 GMT","","","https://www.sportwettentest.net/wp-content/uploads/2013/12/zahlungsarten_betsafe_swt.jpg"
"https://www.sportwettentest.net/wettarten-hunderennen/","text/html; charset=UTF-8","200","OK","Indexable","","Wetten auf Hunderennen - alle Wettarten bei Greyhounds","54","460","Welche Wettarten gibt es bei Sportwetten auf Hunderennen? Erklärung der Möglichkeiten für Wetten zu Windhunderennen bzw. Greyhounds","131","810","","0","Wetten auf Hunderennen – alle Wettarten bei Greyhounds","54","","0","","0","","0","","","https://www.sportwettentest.net/wettarten-hunderennen/","","","77940","1639","15.232229","2","2","46","44","1.65","145","130","11","10","774a9e2568414fea85d8f267edc76f35","0.134","Thu, 20 Dec 2018 17:32:46 GMT","","","https://www.sportwettentest.net/wettarten-hunderennen/"
"https://www.sportwettentest.net/wettanbieter-news/eishockey-wm-2017-koeln-paris-bet3000-wettquoten/","text/html; charset=UTF-8","200","OK","Indexable","","Eishockey WM 2017 in Köln und Paris - Wettquoten bei Bet3000 | Sportwetten Test","79","667","Von 5. bis 21. Mai 2017 findet in Köln und Paris die 81. Eishockey-Weltmeisterschaft statt. Wettquoten bei Buchmacher Bet3000.","126","752","","0","Eishockey WM 2017 in Köln und Paris – Wettquoten bei Bet3000","60","","0","About the Author","16","","0","","","https://www.sportwettentest.net/wettanbieter-news/eishockey-wm-2017-koeln-paris-bet3000-wettquoten/","","","69255","859","8.803697","4","1","20","6","0.23","100","88","11","10","ab426a65954e91413de490ae7f02274d","0.088","Thu, 20 Dec 2018 16:24:59 GMT","","","https://www.sportwettentest.net/wettanbieter-news/eishockey-wm-2017-koeln-paris-bet3000-wettquoten/"
"https://www.sportwettentest.net/wettanbieter-news/bet365-viele-favoriten-bei-der-jagd-nach-dem-cheltenham-gold-cup/","text/html; charset=UTF-8","200","OK","Indexable","","Bet365: Viele Favoriten bei der Jagd nach dem Cheltenham Gold Cup | Sportwetten Test","84","708","Cheltenham Gold Cup 2016: Bet365 sieht bei seinen Pferdewetten keinen eindeutigen Favoriten - Wettquotenübersicht","113","682","","0","Bet365: Viele Favoriten bei der Jagd nach dem Cheltenham Gold Cup","65","","0","About the Author","16","","0","","","https://www.sportwettentest.net/wettanbieter-news/bet365-viele-favoriten-bei-der-jagd-nach-dem-cheltenham-gold-cup/","","","67991","956","10.151343","3","1","20","6","0.23","97","85","12","11","ec316b1120ea01d92aa9dc90961eb529","0.469","","","","https://www.sportwettentest.net/wettanbieter-news/bet365-viele-favoriten-bei-der-jagd-nach-dem-cheltenham-gold-cup/"
"https://www.sportwettentest.net/betsafe-bonus/","text/html; charset=UTF-8","200","OK","Indexable","","Betsafe Bonus - Bis zu 100 Euro Wettbonus für Neukunden | Alle Infos","68","561","Bis zu 100 Euro Sportwetten Bonus hat der Wettanbieter Betsafe für Neukunden zu bieten. Wir zeigen dir, welche Bonusbedingungen gelten und wie das Angebot im Vergleich zur Konkurrenz abschneidet. AGB beachten! 18+!","214","1302","","0","Betsafe Bonus – Bis zu 100 Euro Wettbonus für Neukunden","55","","0","Betsafe Bonusbedingungen:","25","Betsafe Wettbonus Bewertung:","28","","","https://www.sportwettentest.net/betsafe-bonus/","","","72301","979","9.843571","1","58","2567","2538","95.38","108","95","11","10","f376a7d3c32a848d29ab16686a127583","0.063","Thu, 20 Dec 2018 16:06:48 GMT","","","https://www.sportwettentest.net/betsafe-bonus/"
"https://www.sportwettentest.net/wettanbieter-news/deutschland-mexiko-confed-cup-2017-wetten-quoten/","text/html; charset=UTF-8","200","OK","Indexable","","Deutschland vs. Mexiko - Confed Cup 2017 Wetten & Quoten | Sportwetten Test","75","642","Wettquoten Vergleich und Vorschau zum Confed Cup Halbfinale Deutschland gegen Mexiko am Donnerstag, 29.06.2017 um 20:00 Uhr in Sotschi.","135","842","","0","Deutschland vs. Mexiko – Confed Cup 2017 Wetten & Quoten","56","","0","About the Author","16","","0","","","https://www.sportwettentest.net/wettanbieter-news/deutschland-mexiko-confed-cup-2017-wetten-quoten/","","","87808","1616","13.153699","5","1","22","7","0.26","132","94","18","17","19aae5cfb22761ecbc3740333970c0b2","0.105","Fri, 21 Dec 2018 05:52:52 GMT","","","https://www.sportwettentest.net/wettanbieter-news/deutschland-mexiko-confed-cup-2017-wetten-quoten/"
"https://www.sportwettentest.net/wp-content/uploads/2015/01/netbet_tennis_wetten_spiele.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","48632","0","0.0","6","","0","0","0.0","0","0","0","0","","0.071","Tue, 01 Sep 2015 14:28:16 GMT","","","https://www.sportwettentest.net/wp-content/uploads/2015/01/netbet_tennis_wetten_spiele.jpg"
"https://www.sportwettentest.net/wp-content/uploads/2015/04/Tipico-Sportwettentest-Neukundenbonus.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","26886","0","0.0","2","","0","0","0.0","0","0","0","0","","0.086","Mon, 23 Nov 2015 10:14:18 GMT","","","https://www.sportwettentest.net/wp-content/uploads/2015/04/Tipico-Sportwettentest-Neukundenbonus.jpg"
"https://www.sportwettentest.net/wp-content/uploads/2016/02/betsafe-2-liga-24-spieltag-mittwoch-dreiweg.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","19201","0","0.0","3","","0","0","0.0","0","0","0","0","","0.058","Mon, 29 Feb 2016 14:39:18 GMT","","","https://www.sportwettentest.net/wp-content/uploads/2016/02/betsafe-2-liga-24-spieltag-mittwoch-dreiweg.jpg"
"https://www.sportwettentest.net/wp-content/uploads/2016/09/BetVictor-KHL-Quoten.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","66072","0","0.0","3","","0","0","0.0","0","0","0","0","","0.073","Mon, 02 Oct 2017 09:57:14 GMT","","","https://www.sportwettentest.net/wp-content/uploads/2016/09/BetVictor-KHL-Quoten.jpg"
"https://www.sportwettentest.net/bundesliga-wetten/wettquoten-fortuna-duesseldorf-borussia-dortmund-2018-2019/","text/html; charset=UTF-8","200","OK","Indexable","","Wettquoten Düsseldorf – Dortmund | Bundesliga Wetten 2018/19","60","518","Wettquoten Düsseldorf - Dortmund: Quotenvergleich und Sportwetten Analyse zum Bundesliga-Spiel Fortuna Düsseldorf - Borussia Dortmund - 16. Spieltag am 18.12.2018.","163","990","","0","Wettquoten Düsseldorf – Dortmund | Bundesliga Wetten 2018/19","60","","0","Wettquoten Düsseldorf – Dortmund: Quoten Vergleich","50","","0","","","https://www.sportwettentest.net/bundesliga-wetten/wettquoten-fortuna-duesseldorf-borussia-dortmund-2018-2019/","","","79093","1193","10.86569","3","1","15","5","0.19","124","97","11","10","3544e5322c1f107c555026070a31b644","0.036","Thu, 20 Dec 2018 17:30:17 GMT","","","https://www.sportwettentest.net/bundesliga-wetten/wettquoten-fortuna-duesseldorf-borussia-dortmund-2018-2019/"
"https://www.sportwettentest.net/wettanbieter-news/bet3000-mit-neuem-livestream-primera-division-und-mehr-sehen/","text/html; charset=UTF-8","200","OK","Indexable","","Bet3000: Mit neuem Livestream Primera Division & mehr sehen | Sportwetten Test","78","656","Bet3000 bietet den Kunden einen Livestream an: Damit können unter anderem Primera Division & andere ausgewählte Fußball- und Tennis-Events verfolgt werden.","155","935","","0","Bet3000: Mit neuem Livestream Primera Division & mehr sehen","59","","0","About the Author","16","","0","","","https://www.sportwettentest.net/wettanbieter-news/bet3000-mit-neuem-livestream-primera-division-und-mehr-sehen/","","","70093","909","9.525915","3","1","22","8","0.3","102","87","11","10","fef3f0417680fd1fe676300036c67628","0.038","Thu, 20 Dec 2018 16:23:13 GMT","","","https://www.sportwettentest.net/wettanbieter-news/bet3000-mit-neuem-livestream-primera-division-und-mehr-sehen/"
"https://www.sportwettentest.net/wp-content/uploads/2015/04/icon-sprechblase.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","2515","0","0.0","3","","0","0","0.0","0","0","0","0","","0.061","Tue, 20 Sep 2016 16:24:40 GMT","","","https://www.sportwettentest.net/wp-content/uploads/2015/04/icon-sprechblase.png"
"https://www.sportwettentest.net/wp-content/uploads/2018/04/gewinner-dfb-pokal.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","21307","0","0.0","6","","0","0","0.0","0","0","0","0","","0.104","Fri, 13 Apr 2018 13:05:05 GMT","","","https://www.sportwettentest.net/wp-content/uploads/2018/04/gewinner-dfb-pokal.jpg"
"https://www.sportwettentest.net/wp-content/uploads/2015/01/netbet_wettbonus_info.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","21505","0","0.0","5","","0","0","0.0","0","0","0","0","","0.114","Tue, 01 Sep 2015 14:28:14 GMT","","","https://www.sportwettentest.net/wp-content/uploads/2015/01/netbet_wettbonus_info.jpg"
